id	name	rt	comment	pubchem.smiles.isomeric	pubchem.smiles.canonical	Unnamed: 6	formula	pubchem.cid	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb.1	id.lipidmaps	id.kegg
93236_00001	3?-hydroxy-5?-androstan-17-one 3-sulfate	1.0		C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)OS(=O)(=O)O	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OS(=O)(=O)O										
93236_00002	cholic acid	1.0		C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C										
93236_00003	2-hydroxymyristic acid	0.92			CCCCCCCCCCCCC(C(=O)O)O										
93236_00004	undecylenic acid	1.0			C=CCCCCCCCCC(=O)O										
93236_00005	cis-5-dodecenoic acid	1.0		CCCCCC/C=C\CCCC(=O)O	CCCCCCC=CCCCC(=O)O										
93236_00006	lauric acid	1.0	doublet		CCCCCCCCCCCC(=O)O										
93236_00007	lauric acid	2.0	doublet		CCCCCCCCCCCC(=O)O										
93236_00008	LPC(16:0/0:0)	1.35		CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O										
93236_00009	arachidonic acid	2.0		CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O										
93236_00010	linoleic acid	2.0		CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	CCCCCC=CCC=CCCCCCCCC(=O)O										
93236_00011	cis-13-docosenoic acid	4.0		CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O	CCCCCCCCC=CCCCCCCCCCCCC(=O)O										
93236_00012	PI(16:0/18:1)	6.0		CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC1C([C@@H](C(C(C1O)O)O)O)O)OC(=O)CCCCCCC/C=C\CCCCCCCC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCCC=CCCCCCCCC										
93236_00013	PC(16:0/18:2)	7.0	removed another duplicate entry	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC										
93236_00014	PC(O-16:0/20:4)	8.0		CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC										
